Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2637.0,16.982225,19.006775,1.507038,0.092530005,1380.697636864,22.06
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5765.0,,41.049934,1.2049996,-0.02262,9202.078580736,22.06
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2359.5,14.552238,31.140295,2.1777153,0.21301001,4230.615924736,22.06
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1538.5,5.7208195,89.813194,1.6892726,0.38529,690.16092672,22.06
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2898.5,12.018991,15.159519,1.3917692,0.16773,2467.135750144,22.06
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,6879.0,24.032282,29.159424,5.5818143,0.23493,11319.925276672,22.06
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4768.0,34.80292,23.537542,1.4825783,0.049629997,1345.701281792,22.06
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2870.5,20.446613,19.995125,3.068872,0.14812,5223.314620416,22.06
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12185.0,15.8673315,23.469702,1.9760779,0.13420999,6401.918763008,22.06
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,48080.0,47.57146,,10.958834,0.87108004,26311.418445824,42.99
4062,IBIDEN CO LTD,Technology,Electronic Components,19480.0,90.239494,63.050236,9.552597,0.12655,5475.743039488,42.99
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3319.0,13.46068,15.452303,1.4382865,,1332.895547392,42.99
6501,HITACHI,Industrials,Conglomerates,5433.0,30.783613,30.500196,3.706779,,24318.872387584,21.03
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5499.0,27.739103,33.29902,2.4621398,0.10283,11253.351186432,21.03
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,13465.0,20.263355,22.167528,2.4857733,0.14274,1965.770801152,21.03
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,4691.0,34.576546,22.895212,2.5083537,0.07511,1216.695107584,21.03
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,1950.0,39.37803,13.647816,2.661346,0.059959996,341.81382144,21.03
6645,OMRON CORP,Technology,Electronic Components,6532.0,37.587753,24.097095,1.5436164,0.05131,1284.383178752,42.99
6701,NEC CORP,Technology,Information Technology Services,4952.0,24.371279,6.8877263,2.9399471,0.1416,6568.055668736,42.99
6702,FUJITSU,Technology,Information Technology Services,3902.0,22.35975,25.72182,3.3258045,0.16202,6754.466791424,42.99
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,3300.0,17.720024,11.745985,2.116303,0.13953,6030.7144704,42.99
6724,SEIKO EPSON CORP,Technology,Computer Hardware,3199.0,56.16222,15.839769,1.1846375,0.0297,1025.048379392,42.99
6752,PANASONIC HOLDINGS CORP,Technology,Consumer Electronics,4403.0,54.210785,26.076399,1.901676,0.0525,10280.675311616,42.99
6753,SHARP CORP,Technology,Consumer Electronics,661.0,9.0473585,12.148502,1.4560658,0.09599,429.191593984,42.99
6758,SONY GROUP CORPORATION,Technology,Consumer Electronics,3942.0,21.127666,21.517467,2.7659857,0.13159999,23075.703750656,42.99
6762,TDK CORP,Technology,Electronic Components,3034.0,29.453451,28.386976,2.5050635,0.1163,5758.99959296,42.99
6770,ALPS ALPINE CO LTD,Technology,Electronic Components,2225.5,16.51087,20.797121,0.9764207,0.06243,434.294915072,42.99
6841,YOKOGAWA ELECTRIC CORP,Industrials,Specialty Industrial Machinery,5061.0,22.212957,23.42188,2.5063972,,1266.476515328,21.03
6857,ADVANTEST CORP,Technology,Semiconductor Equipment & Materials,32820.0,63.73558,138.05579,22.788816,0.56895,23705.279266816,42.99
6861,KEYENCE CORP,Technology,Scientific & Technical Instruments,82190.0,44.82879,44.0133,5.6169615,,19933.140353024,42.99
6902,DENSO CORP,Consumer Cyclical,Auto Parts,1921.0,11.784554,9.962659,0.94193774,0.09198,4816.21704704,23.57
6920,LASERTEC CORP,Technology,Semiconductor Equipment & Materials,32910.0,38.154755,30.132671,11.949644,0.33929002,2949.74521344,42.99
6954,FANUC CORPORATION,Industrials,Specialty Industrial Machinery,5964.0,33.40615,34.452084,2.9407413,0.10049,5565.352247296,21.03
6963,ROHM CO LTD,Technology,Semiconductors,4730.0,,54.436646,2.358747,,1825.945944064,42.99
6971,KYOCERA CORP,Industrials,Conglomerates,3601.0,35.100887,40.23464,1.4066792,0.05059,4634.69019136,21.03
