Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2579.5,16.594828,18.59233,1.4741769,0.092530005,1350.591315968,22.12
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5611.0,,39.967236,1.1732175,-0.02262,8959.373082624,22.12
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2356.5,14.525674,31.1007,2.1749463,0.21301001,4225.236992,22.12
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1372.0,5.1011305,80.09341,1.5064557,0.38529,615.470137344,22.12
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2831.5,11.747988,14.809101,1.3595979,0.16773,2410.107109376,22.12
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,6933.0,24.21755,29.388325,5.6256313,0.23493,11408.786849792,22.12
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4858.0,35.485756,23.981833,1.5105633,0.049629997,1371.102511104,22.12
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2729.0,19.431786,19.009474,2.9175932,0.14812,4965.833637888,22.12
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12030.0,15.654279,23.171154,1.9509411,0.13420999,6320.482680832,22.12
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,53740.0,53.202656,,12.248913,0.87108004,29408.811286528,46.01
4062,IBIDEN CO LTD,Technology,Electronic Components,20785.0,96.40538,67.274086,10.192543,0.12655,5808.75190272,46.01
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3770.0,15.282958,17.552029,1.6337271,,1514.015162368,46.01
6501,HITACHI,Industrials,Conglomerates,5767.0,32.62616,32.37523,3.9346576,,25813.902688256,21.99
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,6153.0,31.055367,37.259296,2.7549639,0.10283,12591.7200384,21.99
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,14900.0,22.41714,24.52998,2.7506888,0.14274,2175.268159488,21.99
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5431.0,39.96321,26.506907,2.9040437,0.07511,1408.627376128,21.99
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,2118.5,42.8933,14.827127,2.8913136,0.059959996,371.350044672,21.99
6645,OMRON CORP,Technology,Electronic Components,7004.0,40.322395,25.838345,1.6551577,0.05131,1377.192247296,46.01
6701,NEC CORP,Technology,Information Technology Services,5168.0,25.449352,7.1881604,3.068184,0.1416,6854.546030592,46.01
6702,FUJITSU,Technology,Information Technology Services,3841.0,21.977455,25.31971,3.273812,0.16202,6648.874139648,46.01
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,3746.0,20.118153,13.483963,2.4023247,0.13953,6845.774692352,46.01
