Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2618.0,20.449928,18.869827,1.5351471,0.08457,1370.488569856,21.37
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5648.0,,40.230785,1.2010213,-0.02118,9018.451951616,21.37
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2166.5,13.351205,28.593113,2.1220202,0.17438,3881.267888128,21.37
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1284.5,4.7756257,74.98541,1.7448725,0.46266997,576.218202112,21.37
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2855.5,11.848548,14.934624,1.4419292,0.13508001,2429.960323072,21.37
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,7416.0,25.906517,31.435717,6.017551,0.23493,12204.9789952,21.37
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4656.0,34.01271,22.984646,1.4599491,0.045250002,1314.090778624,21.37
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2799.5,19.960785,19.500557,3.0610416,0.15809,5094.119047168,21.37
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,11155.0,16.286573,21.485806,1.8925227,0.12943,5860.763369472,21.37
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,56010.0,55.555557,,21.86407,0.519,30651.052982272,43.98
4062,IBIDEN CO LTD,Technology,Electronic Components,17370.0,80.64441,56.22087,8.817926,0.12167,4850.49499648,43.98
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3879.0,15.723551,18.0595,1.7328576,0.11915,1557.789016064,43.98
6501,HITACHI,Industrials,Conglomerates,4850.0,27.472528,27.227304,3.3225665,0.13299,21749.4061056,27.76
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5650.0,28.48931,34.213394,2.5784287,0.09964,11562.362339328,27.76
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,12925.0,19.417402,21.278522,2.3808985,0.1289,1886.939119616,27.76
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5117.0,37.735985,24.974377,2.7361426,0.07511,1327.185788928,27.76
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,2392.5,48.313812,16.74482,3.1517336,0.06466,419.379249152,27.76
6645,OMRON CORP,Technology,Electronic Components,5479.0,31.546524,20.21249,1.2888526,0.03822,1077.332410368,43.98
6701,NEC CORP,Technology,Information Technology Services,4249.0,20.920729,5.9099255,2.565643,0.12557,5635.635675136,43.98
