Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2564.0,16.366653,18.48061,1.4653187,0.092530005,1342.475730944,21.78
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5702.0,,40.61543,1.192245,-0.02262,9104.677404672,21.78
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2310.5,14.234228,30.4936,2.1324904,0.21301001,4142.758363136,21.78
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1375.0,5.040323,80.26854,1.5097497,0.38529,616.815919104,21.78
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2831.0,11.743964,14.806485,1.3593578,0.16773,2409.68138752,21.78
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,6847.0,23.980808,29.023779,5.5558486,0.23493,11267.266838528,21.78
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4779.0,34.60285,23.591845,1.4859986,0.049629997,1348.805853184,21.78
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2700.0,19.223923,18.807468,2.886589,0.14812,4913.0635264,21.78
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12040.0,15.649371,23.190416,1.9525628,0.13420999,6325.73657088,21.78
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,57150.0,56.69699,,13.026152,0.87108004,31274.909564928,44.19
4062,IBIDEN CO LTD,Technology,Electronic Components,20875.0,100.0,67.565384,10.236677,0.12655,5833.904095232,44.19
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3614.0,14.654124,16.825737,1.5661246,,1451.36615424,44.19
6501,HITACHI,Industrials,Conglomerates,5514.0,31.546429,30.95492,3.762043,,24681.438511104,21.8
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,6031.0,30.385933,36.520527,2.7003393,0.10283,12342.0540928,21.8
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,14410.0,21.679932,23.72329,2.66023,0.14274,2103.73246976,21.8
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5171.0,38.103306,25.237932,2.7650173,0.07511,1341.19161856,21.8
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,2019.0,40.83738,14.130738,2.7555165,0.059959996,353.908752384,21.8
6645,OMRON CORP,Technology,Electronic Components,6850.0,39.376865,25.270226,1.618765,0.05131,1346.911338496,44.19
6701,NEC CORP,Technology,Information Technology Services,4650.0,23.584906,6.467675,2.760653,0.1416,6167.499636736,44.19
6702,FUJITSU,Technology,Information Technology Services,3601.0,20.604221,23.73764,3.069252,0.16202,6233.42780416,44.19
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,3807.0,20.43588,13.703537,2.4414442,0.13953,6957.251428352,44.19
6724,SEIKO EPSON CORP,Technology,Computer Hardware,3063.0,53.96406,15.166369,1.1342747,0.0297,981.470150656,44.19
6752,PANASONIC HOLDINGS CORP,Technology,Consumer Electronics,4552.0,55.921375,26.958838,1.9660299,0.0525,10628.579196928,44.19
6753,SHARP CORP,Technology,Consumer Electronics,616.1,8.725392,11.323286,1.357159,0.09599,400.037707776,44.19
6758,SONY GROUP CORPORATION,Technology,Consumer Electronics,3718.0,19.951704,20.29476,2.6088116,0.13159999,21764.451074048,44.19
6762,TDK CORP,Technology,Electronic Components,3139.0,30.52611,29.369387,2.591758,0.1163,5958.305579008,44.19
6770,ALPS ALPINE CO LTD,Technology,Electronic Components,2190.0,16.254732,20.465376,0.96084535,0.06243,427.36730112,44.19
6841,YOKOGAWA ELECTRIC CORP,Industrials,Specialty Industrial Machinery,5346.0,23.459715,24.740837,2.6475399,,1337.79554304,21.8
6857,ADVANTEST CORP,Technology,Semiconductor Equipment & Materials,35860.0,69.792336,150.8434,24.899664,0.56895,25901.016285184,44.19
6861,KEYENCE CORP,Technology,Scientific & Technical Instruments,84130.0,45.7452,45.052185,5.7495437,,20403.640598528,44.19
6902,DENSO CORP,Consumer Cyclical,Auto Parts,1933.5,11.861236,10.027487,0.94806695,0.09198,4847.55636224,23.22
6920,LASERTEC CORP,Technology,Semiconductor Equipment & Materials,37020.0,42.861115,33.89582,13.441988,0.33929002,3318.127263744,44.19
6954,FANUC CORPORATION,Industrials,Specialty Industrial Machinery,6285.0,35.164776,36.306396,3.0990207,0.10049,5864.896331776,21.8
6963,ROHM CO LTD,Technology,Semiconductors,5040.0,,58.004375,2.5133371,,1945.616777216,44.19
6971,KYOCERA CORP,Industrials,Conglomerates,3799.0,37.737164,42.446926,1.4985602,0.05059,4889.527189504,21.8
6976,TAIYO YUDEN CO LTD,Technology,Electronic Components,9991.0,93.11276,53.34508,3.5338488,0.05335,1250.342731776,44.19
6981,MURATA MANUFACTURING CO,Technology,Electronic Components,7496.0,58.71387,31.5927,4.9458566,0.10063,13645.060767744,44.19
7735,SCREEN HOLDINGS CO LTD,Technology,Semiconductor Equipment & Materials,13695.0,28.13964,15.656796,5.2091994,0.1887,2589.557784576,44.19
7751,CANON INC,Technology,Computer Hardware,4500.0,11.534025,12.414136,1.0970705,0.10371,3797.789179904,44.19
7752,RICOH CO,Industrials,Business Equipment & Supplies,1596.0,16.34576,13.821772,0.7645037,0.07453,897.031340032,21.8
8035,TOKYO ELECTRON,Technology,Semiconductor Equipment & Materials,56380.0,45.108692,44.039997,11.961935,0.30929002,25613.257670656,44.19
543A,ARCHION CORPORATION,Industrials,Farm & Heavy Construction Machinery,283.0,1.9728129,,0.82694864,0.50815,780.112887808,21.8
7201,NISSAN MOTOR CO,Consumer Cyclical,Auto Manufacturers,333.3,,-22.719835,0.23895451,-0.076519996,1165.344243712,23.22
7202,ISUZU MOTORS,Consumer Cyclical,Auto Manufacturers,2241.5,11.610981,8.809543,1.0218292,0.116009995,1540.44203008,23.22
7203,TOYOTA MOTOR CORP,Consumer Cyclical,Auto Manufacturers,3022.0,8.601844,9.320831,0.95918363,0.12404,35783.66263296,23.22
7211,MITSUBISHI MOTOR CORP,Consumer Cyclical,Auto Manufacturers,349.0,46.533333,3.8242383,0.50985897,0.022669999,467.08506624,23.22
7261,MAZDA MOTOR CORP,Consumer Cyclical,Auto Manufacturers,1184.0,21.188261,4.3195915,0.38936213,0.05876,747.06878464,23.22
7267,HONDA MOTOR CO,Consumer Cyclical,Auto Manufacturers,1713.0,,7.5085473,0.5394776,-0.0076200003,6668.737314816,23.22
7269,SUZUKI MOTOR CORP,Consumer Cyclical,Auto Manufacturers,2081.0,9.140824,11.807093,1.1343647,0.1532,4014.818983936,23.22
7270,SUBARU CORPORATION,Consumer Cyclical,Auto Manufacturers,2588.5,20.614,5.798871,0.65776354,0.03118,1824.074104832,23.22
7272,YAMAHA MOTOR CO,Consumer Cyclical,Auto Manufacturers,1918.5,8.585045,10.137384,1.4881518,0.07716,1862.34568704,23.22
4543,TERUMO CORP,Healthcare,Medical Instruments & Supplies,2578.0,27.95489,25.316704,2.2880614,0.10854,3802.8115968,21.78
4902,KONICA MINOLTA INC,Industrials,Business Equipment & Supplies,635.8,9.783044,13.201827,0.5711318,0.065349996,314.201964544,21.8
6146,DISCO CORPORATION,Technology,Semiconductor Equipment & Materials,62350.0,50.05218,45.813923,11.616838,0.27376,6762.962878464,44.19
7731,NIKON CORP,Consumer Cyclical,Leisure,1983.0,,18.72698,1.1009591,-0.15223,653.233422336,23.22
7733,OLYMPUS CORPORATION,Healthcare,Medical Devices,2116.0,33.89939,16.84177,3.0069804,0.105749995,2248.99629056,21.78
7741,HOYA CORP,Healthcare,Medical Instruments & Supplies,26290.0,35.31324,38.481243,8.662331,0.2653,8794.54322688,21.78
9432,NTT INC,Communication Services,Telecom Services,160.4,12.720063,11.024055,1.3248533,0.107130006,13024.962281472,21.08
9433,KDDI CORPORATION,Communication Services,Telecom Services,2854.0,15.432032,1224.8927,2.1193552,0.14586,10551.378837504,21.08
9434,SOFTBANK CORP.,Communication Services,Telecom Services,234.0,20.74468,20.18982,3.8445108,0.16712,11193.090572288,21.08
9984,SOFTBANK GROUP CORP,Communication Services,Telecom Services,5830.0,6.683404,19.743303,1.8227454,0.31964,33224.724054016,21.08
5831,SHIZUOKA FINANCIAL GROUP INC.,Financial Services,Banks - Regional,3566.0,21.293365,28.512033,1.4803044,0.081999995,1893.033705472,18.48
7186,YOKOHAMA FINANCIAL GROUP INC,Financial Services,Banks - Regional,1935.5,20.586046,26.12716,1.4780811,,2151.264681984,18.48
8304,AOZORA BANK,Financial Services,Banks - Regional,3388.0,18.269075,18.238588,0.9390619,0.06564,468.835074048,18.48
8306,MITSUBISHI UFJ FINANCIAL GROUP ,Financial Services,Banks - Diversified,3654.0,17.182356,24.09019,1.8118457,0.09458999,41205.693939712,18.48
8308,RESONA HOLDINGS,Financial Services,Banks - Regional,2500.0,21.949078,28.389734,1.8636689,0.0923,5597.180198912,18.48
8309,SUMITOMO MITSUI TRUST GP INC,Financial Services,Banks - Regional,1734.0,13.130396,4.6689463,1.3027152,0.10779,4775.33569024,18.48
8316,SUMITOMO MITSUI FINANCIAL GROUP,Financial Services,Banks - Diversified,6900.0,16.806723,21.711086,1.6278688,0.08569,26302.80544256,18.48
8331,CHIBA BANK,Financial Services,Banks - Regional,2837.5,19.413656,25.71597,1.5236806,0.08298001,1961.463775232,18.48
