Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2656.0,20.746758,19.14372,1.5574296,0.08457,1390.381105152,21.79
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5744.0,,40.914597,1.2214353,-0.02118,9171.740131328,21.79
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2233.5,13.774283,29.477367,2.1876447,0.17438,4001.29785856,21.79
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1292.5,4.8053684,75.45242,1.7557397,0.46266997,579.806953472,21.79
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2902.5,12.004715,15.18044,1.4656626,0.13508001,2469.95615744,21.79
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,6999.0,24.4498,29.668093,5.6791854,0.23493,11518.695440384,21.79
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4791.0,35.08862,23.651083,1.5022802,0.045250002,1352.192622592,21.79
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2889.5,20.576088,20.127474,3.1594498,0.15809,5257.888268288,21.79
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,11385.0,16.528986,21.928812,1.9315438,0.12943,5981.603889152,21.79
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,44550.0,44.144753,,17.390543,0.519,24379.654144,43.61
4062,IBIDEN CO LTD,Technology,Electronic Components,14855.0,77.51917,48.080658,7.5411797,0.12167,4151.50374912,43.61
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3668.0,15.82262,17.077147,1.638598,0.11915,1473.052409856,43.61
6501,HITACHI,Industrials,Conglomerates,4890.0,27.700674,27.45186,3.3499691,0.13299,21928.781807616,28.07
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5319.0,26.806774,32.209034,2.427374,0.09964,10884.992729088,28.07
