Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2663.5,17.152885,19.197779,1.5221826,0.092530005,1394.57265664,22.24
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5800.0,,41.313484,1.212736,-0.02262,9261.158498304,22.24
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2370.5,14.620082,31.285471,2.1878679,0.21301001,4250.339115008,22.24
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1485.0,5.521883,86.690025,1.6305296,0.38529,666.161184768,22.24
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2912.5,12.0770445,15.23274,1.3984915,0.16773,2479.052292096,22.24
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,7033.0,24.570292,29.812216,5.706774,0.23493,11573.344075776,22.24
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4824.0,35.211678,23.81399,1.499991,0.049629997,1361.50646784,22.24
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2931.0,20.877556,20.416552,3.1335528,0.14812,5333.40356608,22.24
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12170.0,15.847798,23.440811,1.9736453,0.13420999,6394.037665792,22.24
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,47900.0,47.393364,,10.917807,0.87108004,26212.915216384,43.78
4062,IBIDEN CO LTD,Technology,Electronic Components,20175.0,93.45903,65.29972,9.893412,0.12655,5671.104806912,43.78
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3401.0,13.793242,15.834071,1.4738212,,1365.826338816,43.78
6501,HITACHI,Industrials,Conglomerates,5550.0,31.44654,31.157019,3.7866046,,24842.57947648,21.28
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5648.0,28.490717,34.201283,2.5288537,0.10283,11558.2697472,21.28
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,13815.0,20.790068,22.743736,2.550387,0.14274,2016.86777856,21.28
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,4811.0,35.461044,23.480892,2.5725195,0.07511,1247.81920256,21.28
